Target,Source
Sell Confirmation,出售确认
Bluegray,蓝灰
Work in Progress,在做了
UI Theme,主题
Original,原始
Darkred,黑红
Highlight images that use data: URI,高亮显示链接的图片
Preview D20 Rolls,显示20掷骰
{type} Sheet,{} 表
{type} Sheet (data entry),{}表（数据输入）
{type} Sheet (preview),{} 表 (预览)
{type} Sheet (legacy),{}表
Your shield's Broken Threshold,你盾牌的破损阈值
Broken Threshold,破损阈值
Shield HP,盾牌
Your shield's current Hit Points,你盾牌当前
Max,最大
Your shield's max Hit Points,盾牌最大生命值
Size,尺寸
Acrobatics,特技
Arcana,奥法
Athletics,运动
Skill Check: {skillName},技能检定: {}
Skill Feat Levels,技能专长等级
Skill Increase Levels,技能提升等级
Intimidation,威吓
Skill Potencies,技能潜力
Stealth,隐秘
Thievery,贼活
Slug,短标签
Author,作者
Book,书
Special,特殊
Special Senses,特殊感官
Base {type} Speed,基础 {} 速度
Speed (feet),速度 (尺)
{type} Speed,{} 速度
Your character's speed,你的角色速度
Speed Types,其他移动速度
Land,陆地移动
Alternative movement types,转换移动类型
Spell Ability,法术能力
Area: {areaSize} {areaUnit} {areaType},范围: {} {} {}
Spell Attack,法术攻击
{tradition} Spell Attack,{} 法术攻击
Basic,基础
Cantrip,戏法
{traditionSpells} {preparationType} Spells,{} {} 法术
Focus,聚能
Focus Cantrip,聚能戏法
Spell Category,法术类别
Ritual,仪式
Spell,法术
Add to Spell Collection,添加到法术合集
Remove from Spell Collection,从法术合集中移除
Material,材料
Somatic,姿势
Verbal,语言
Components,成分
Concentration,专注
Base Spell DC 10,基础法术 10
Spell Damage,法术伤害
Flexible: {value} / {max},灵活: {} / {}
Flexible,灵活
{level} Level,{}环
1st Level,1环
10th Level,10环
2nd Level,2环
3rd Level,3环
4th Level,4环
5th Level,5环
6th Level,6环
7th Level,7环
8th Level,8环
9th Level,9环
Base: {level},基础: {}
Heightened:{heightened},升阶:{}
Spell Level,法术等级
Non-Cantrip,非戏法
Primary Check,主要检定
Requirements,需求
Spell DC,法术
Add Heightening (Interval),添加升阶(梯度)
Scaling (Interval),成长(梯度)
Interval,梯度
Heightened (+{interval}),升阶 (+{})
Scaling,成长
Add Heightening (Fixed),添加升阶(定值)
Heightened Level,升阶环级
Heightened ({level}),升阶 ({})
School,学派
Secondary Casters,次要施法者
Secondary Checks,次要检定
Empty Slot (drag spell here),空位（拖入法术）
Cannot cast {name}: spell is already expended,无法施放{}，法术已被消耗
Targets,目标
Cast Time,施法时间
Spell Type,法术类型
Saving Throw,豁免骰
Utility,效果
Uses,使用
Default (Use Actor Level),默认(使用角色等级)
Auto Heighten Level,自动升环
Spellcasting Settings,施法设置
Bomb,炸弹
Spellcasting Type,法术施法方式
Coins,货币
Gems,宝石
Stacks With,堆叠
Rounds (10),轮 (10)
Rounds (5),轮 (5)
Sacks,麻袋
Spray Pellets,泼溅弹丸
Wooden Taws,木弹
Stamina Points,耐力点
{name}'s status effects:,{} 状态效果:
"As success, but you deal double damage.",视作成功，你造成双倍伤害.
Strikes,攻击
Striking Rune,强击符文
Character,角色
Manage Tabs,管理标签
Proficiencies,技能
Temp HP,临时
Days,天
Hours,小时
Minutes,分钟
Seconds,秒
Weeks,周
Toggle Whether Effect Is Unidentified,是否启用效果未鉴定功能
Toggle Signature Spell,切换招牌法术
Toggle visibility of spell levels without slots,切换空置法术环级的可见性
Spell Preparation,法术准备
Toggle unequipped weapons,切换未装备武器
Toggle: {property},切换: {}
Toggles,切换
Dimensions,尺寸
Link to Actor Size,与角色体型关联
Unlink from Actor Size,取消与角色体型关联
Total Coinage,货币总计
Total Treasure,全部宝物
Total Wealth,全部财产
Trained Skills,受训技能选项
Aberration,异怪
Additive 0,添加剂 0
Additive 1,添加剂 1
Additive 2,添加剂 2
Additive 3,添加剂 3
Adjusted,已调整
Adjustment,改修
Aeon,御衡者
Aesir,亚萨
Affixed to a Ranged Weapon,附在远程武器上
Affixed to a Shield,添加到盾牌
Affixed to a Two-Handed Firearm or Crossbow,附着在一把双手火器或弩上
Affixed to Armor,添加到护甲
Affixed to Armor or a Weapon,附在盔甲或武器上
Affixed to Armor or Travelers Clothing,附在盔甲或探险者服装上
Affixed to a Creature,附着在一个生物身上
Affixed to Crossbow or Firearm,附在弩或火器上
Affixed to Firearm,附在火器上
Affixed to the Ground,贴在地面上
Bonded,连结
Affixed to Harness,附着在挽具上
Affixed to Headgear,添加到头部装备
Affixed to an Innovation,附着在大发明上
Affixed to Instrument,附着到一把乐器上
Affixed to a Load-Bearing Wall or Pillar,贴在承重墙或柱上
Affixed to a Magical Staff,附在魔法木杖上
Affixed to Medium or Heavy Armor,附在中型或重型护甲上
Affixed to an Object or Structure,附着在一个物品或构造物上
"Affixed to Structure, Object, or Creature",附着在构造物、物品或生物上
Affixed to a Thrown Weapon,附在投掷武器上
Affixed to Unarmored Defense Item,附在无甲防御物品上
Affixed to a Weapon,添加到武器
Aftermath,奇遇
Agathion,福使
Agile,灵巧
Alchemical,炼金
Amp,增幅
Angel,天使
Animal,动物
Applied to a wind-powered vehicle,附在风力驱动载具上
Applied to a weapon,添加到一把武器上
Applied to any visible article of clothing,附在任一可见衣物上
Applied to armor,应用于护甲
Applied to armor or unarmored defense clothing,应用于护甲或无甲防御
"Applied to belt, cape, cloak, or scarf",附在腰带、披风、斗篷或围巾上
"Applied to boots, cape, cloak, or umbrella",附在靴子、披风、斗篷或伞上
Applied to a buckler or a shield,附在小圆盾或护盾上
Applied to dueling cape or shield,附在决斗披肩或盾牌上
Applied to Footwear,应用于靴子
Applied to Medium or Heavy Armor,应用于中甲或重甲
Applied to shield,附在盾牌上
Aquadynamic,适水
Aquatic,水栖
Arcane,奥术
Archetype,变体
Archon,圣使
Artifact,神器
Astral,星界
Asura,阿修罗
Attached,附着
Attached to a Thrown Weapon,附在投掷武器上
Attached to Crossbow or Firearm,附着在弩或者火器上
Attached to Crossbow or Firearm (Firing Mechanism),附在弩或火器上（击发装置）
Attached to Crossbow or Firearm (Scope),附在弩或火器上（瞄准镜）
Attached To Firearm,附在火器上
Attached To Firearm (Firing Mechanism),附在火器上（击发装置）
Attached To Firearm (Scope),附在火器上（瞄准镜）
Attached to Shield,附着在盾牌上
Azata,灵使
Backstabber,背刺
Backswing,回摆
Brace,迎击
Brutal,凶残
Bulwark,壁垒
Capacity 2,弹容 2
Capacity 3,弹容 3
Capacity 4,弹容 4
Capacity 5,弹容 5
Carried,携带
Catalyst,触媒
Charau-ka,查拉乌卡猿族
Circus,马戏
Climbing,攀爬
Clockwork,发条
Cobbled,拼凑
Coda,尾声
Combination,组合
Comfort,舒适
Companion,伙伴
Complex,复杂
Composition,组曲
Concealable,隐蔽
Concentrate,专注
Concussive,震荡
Consecration,祝圣
Construct,构装体
Contact,接触
Contract,契约
Couatl,羽蛇
Critical Fusion,重击融合
Cursebound,咒缚
Daemon,邪魔
Darvakka,达尔瓦卡
Deadly,致命
Deadly 2d10,致命 210
Deadly 2d12,致命 212
Deadly 2d8,致命28
Deadly 3d10,致命 310
Deadly 3d12,致命 312
Deadly 3d8,致命 38
Deadly 4d10,致命 410
Deadly 4d12,致命 412
Deadly 4d8,致命 48
Deadly d10,致命 10
Deadly d12,致命 12
Deadly d4,致命 4
Deadly d6,致命 6
Deadly d8,致命 8
Dedication,入门
Deflecting Bludgeoning,偏转钝击
Deflecting Physical Ranged,偏转物理远程伤害
Deflecting Piercing,偏转穿刺
Deflecting Slashing,偏转挥砍
Demon,恶魔
Dero,癫儒
This indicates abilities from the alchemist class.,指炼金术士职业能力。
This feat belongs to an archetype.,这个专长属于一个变体.
Etched on Clan Dagger,蚀刻到宗族匕首上
This indicates abilities from the barbarian class.,指野蛮人职业能力。
This indicates abilities from the bard class.,指吟游诗人职业能力。
This indicates abilities from the champion class.,指神卫职业能力。
This indicates abilities from the cleric class.,指牧师职业能力。
This indicates abilities from the inventor class.,这表示发明家职业的能力。
This indicates abilities from the druid class.,指德鲁伊职业能力。
Etched on Melee Weapon,蚀刻到近战武器上
This indicates abilities from the fighter class.,指战士职业能力。
Gnolls are humanoids that resemble hyenas.,豺狼人是类似鬣狗的人形生物。
Insular humanoids that bear countless eyes.,长着无数眼睛的孤僻类人种族。
Gripplis are a family of frog-like humanoids,树蛙人是一个类似青蛙的人形生物种族
This indicates abilities from the gunslinger class.,这表示铳士职业的能力。
Foldaway,折叠
This poison is delivered when breathed in.,这种毒药会在吸入后就会起效。
This indicates abilities from the investigator class.,指调查员职业能力。
Shapeshifting humanoids whose true forms resemble foxes.,可以变形的类人生物，其真实形态类似于狐狸。
This indicates abilities from the magus class.,这表示法师的职业能力。
Many monks learn to use these weapons.,许多武僧会使用这些武器。
This trait has no description.,这个特征没有描述。
Forceful,叠劲
This indicates abilities from the oracle class.,指先知职业能力。
This indicates abilities from the psychic class.,指心能者职业能力。
This indicates abilities from the ranger class.,指游侠职业能力。
This indicates abilities from the rogue class.,指游荡者职业能力。
This indicates abilities from the sorcerer class.,指术士职业能力。
Esoterica,秘藏
Free-Hand,空手
Sulis are planar scions descended from jann.,巨灵裔是小巨灵群体后裔的族裔。
This indicates abilities from the Summoner class.,这表示召唤师职业的能力。
This indicates abilities from the Swashbuckler class.,指浪客职业能力。
This indicates abilities from the thaumaturge class.,这表示奇术师职业的能力。
Etched on Bludgeoning Weapon,蚀刻到钝击武器上
Focused,聚能
This indicates abilities from the witch class.,指女巫职业能力。
This indicates abilities from the wizard class.,指法师职业能力。
Detection,侦测
Deviant,特异
Devil,魔鬼
Dinosaur,恐龙
Div,妖灵
Divine,神术
Double Barrel,双管
Dragon,龙
Dream,梦境
Drow,卓尔
Duergar,灰矮人
Elemental,元素
Entrench Melee,固守近战
Entrench Ranged,固守远程
Environmental,环境
Etched on Piercing/Slashing Melee Weapon,蚀刻到穿刺或挥砍近战武器上
Etched on Piercing/Slashing Weapon,蚀刻到穿刺或挥砍武器上
Etched on Slashing Melee Weapon,蚀刻到挥砍近战武器上
Etched on Thrown Weapon,蚀刻到投掷武器上
Etched onto a Weapon,蚀刻到武器上
Etched on Weapon w/o Anarchic Rune,蚀刻到没有混沌符文的武器上
Etched on Weapon w/o Axiomatic Rune,蚀刻到没有公理符文的武器上
Etched on Weapon w/o Holy Rune,蚀刻到没有神圣符文的武器上
Etched on Weapon w/o Unholy Rune,蚀刻到没有邪恶符文的武器上
Etched onto Armor,刻在盔甲上
Etched onto Heavy Armor,蚀刻在重甲上
Etched onto Light Armor,蚀刻在轻甲上
Etched on L/M Nonmetal Armor,蚀刻到非金属材质的轻/中甲上
Etched onto Medium or Heavy Armor,蚀刻在中甲或重甲上
Etched onto Metal Armor,蚀刻在金属护甲上
Evolution,进化
Expandable,膨胀
Extradimensional,异次元
Fatal,夺命
Fatal Aim,夺命瞄准
Fatal Aim d10,夺命瞄准 10
Fatal Aim d12,夺命瞄准 12
Fatal d10,夺命 10
Fatal d12,夺命 12
Fatal d8,夺命 8
Fiend,魔族
Finesse,娴熟
Finisher,终结技
Finite,有限
Flourish,绝技
Fulu,符箓
Fungus,真菌
Gadget,小装置
General,通用
Genie,巨灵
Geniekin,巨灵子嗣
Ghul,鬼巨灵
Giant,巨人
Golem,魔像
Grimoire,魔典
Hag,鬼婆
Halcyon,宁静
Hampering,阻碍
Hantu,物灵
Harnessed,挽具
Harrow Court,哈罗庭院
Haunt,作祟
Hefty 14,沉重14
Held in 1 hand,单手持握
Held in 1 hand or free-standing,单手持握或无需持握
Held in 2 hands,双手持握
Herald,神使
Hex,巫术
Hindering,妨碍
Humanoid,类人生物
Incapacitation,失能
Incarnate,化身
Incorporeal,虚体
Inevitable,制裁者
Infused,灌注
Ingested,摄入
Injection,注射
Injury,伤口
Inscribed,铭刻
Integrated 1d6 B,义体16
Integrated 1d6 P,义体16
Integrated 1d6 S,义体16
Integrated 1d6 S (Versatile P),义体16 (多用)
Intelligent,智能
Jousting,骑战
Jousting d6,骑战 6
Kaiju,怪兽
Kami,社神
Kickback,反冲
Laminar,分层
Launching,发射
Lineage,血脉
Linguistic,语言
Litany,祷言
Locathah,洛卡鱼人
Lozenge,含片
Manipulate,操作
Mechanical,机械式
Merfolk,人鱼
Metamagic,超魔
Mindless,无心智
Mindshift,心象转移
Minion,仆从
Missive,信函
Modification,改进
"Modular B, P, or S",模块化 或
Monitor,观察者
Morlock,摩洛克
Morph,化形
Mortic,死灵裔
Mounted,安装式
Move,移动
Multiclass,兼职
Mutant,突变
Noisy,嘈杂
Nymph,宁芙
Oath,誓约
Occult,异能
Oni,恶鬼
Ooze,泥怪
Open,起手
Parry,格挡
Pervasive Magic,富魔
Petitioner,祈并者
Phantom,魅影
Ponderous,笨重
Precious,珍贵
Prediction,预测
Press,连携
Primal,原能
Processed,加工
Propulsive,助进
Psyche,心力
Psychopomp,招魂者
Qlippoth,古魔
Rakshasa,罗刹
Range 10 ft,射程 10
Range 100 ft,射程 100
Range 110 ft,射程 110
Range 120 ft,射程 120
Range 130 ft,射程 130
Range 140 ft,射程 140
Range 15 ft,射程 15
Range 150 ft,射程 150
Range 160 ft,射程 160
Range 170 ft,射程 170
Range 180 ft,射程 180
Range 190 ft,射程 190
Range 20 ft,射程 20
Range 200 ft,射程 200
Range 210 ft,射程 210
Range 220 ft,射程 220
Range 230 ft,射程 230
Range 240 ft,射程 240
Range 25 ft,射程 25
Range 250 ft,射程 250
Range 260 ft,射程 260
Range 270 ft,射程 270
Range 280 ft,射程 280
Range 290 ft,射程 290
Range 30 ft,射程 30
Range 300 ft,射程 300
Range 310 ft,射程 310
Range 320 ft,射程 320
Range 40 ft,射程 40
Range 5 ft,射程 5
Range 50 ft,射程 50
Range 500 ft,射程 500
Range 60 ft,射程 60
Range 70 ft,射程 70
Range 80 ft,射程 80
Range 90 ft,射程 90
Range Increment 10 ft,射程增量 10
Range Increment 100 ft,射程增量 100
Range Increment 110 ft,射程增量 110
Range Increment 120 ft,射程增量 120
Range Increment 130 ft,射程增量 130
Range Increment 140 ft,射程增量 140
Range Increment 15 ft,射程增量 15
Range Increment 150 ft,射程增量 150
Range Increment 160 ft,射程增量 160
Range Increment 170 ft,射程增量 170
Range Increment 180 ft,射程增量 180
Range Increment 190 ft,射程增量 190
Range Increment 20 ft,射程增量 20
Range Increment 200 ft,射程增量 200
Range Increment 210 ft,射程增量 210
Range Increment 220 ft,射程增量 220
Range Increment 230 ft,射程增量 230
Range Increment 240 ft,射程增量 240
Range Increment 25 ft,射程增量 25
Range Increment 250 ft,射程增量 250
Range Increment 260 ft,射程增量 260
Range Increment 270 ft,射程增量 270
Range Increment 280 ft,射程增量 280
Range Increment 290 ft,射程增量 290
Range Increment 30 ft,射程增量 30
Range Increment 300 ft,射程增量 300
Range Increment 310 ft,射程增量 310
Range Increment 320 ft,射程增量 320
Range Increment 40 ft,射程增量 40
Range Increment 5 ft,射程增量 5
Range Increment 50 ft,射程增量 50
Range Increment 60 ft,射程增量 60
Range Increment 70 ft,射程增量 70
Range Increment 75 ft,射程增量 75
Range Increment 80 ft,射程增量 80
Range Increment 90 ft,射程增量 90
Ranged Trip,远程摔拌
Rare,稀有
Razing,破拆
Reach,长触及
Reach 0 ft,长触及 0
Reach 10 ft,长触及 10
Reach 100 ft,长触及 100
"Reach 1,000 ft",长触及 1000
Reach 15 ft,长触及 15
Reach 20 ft,长触及 20
Reach 200 ft,长触及 200
Reach 25 ft,长触及 25
Reach 30 ft,长触及 30
Reach 40 ft,长触及 40
Reach 50 ft,长触及 50
Reach 60 ft,长触及 60
Reckless,鲁莽
Recovery,回旋
Relic,圣物
Reload,装填
Reload 0,装填 0
Reload 1,装填 1
Reload 1 min,装填 1分钟
Reload 2,装填 2
Repeating,连发
Resonant,共鸣
Revelation,揭示
Saggorak,萨戈拉克
Sahkil,恐亡魔
Scatter,散射
Scatter 10,散射 10
Scatter 15,散射 15
Scatter 5,散射 5
Sea Devil,沙华鱼人
Secret,秘密
Serpentfolk,蛇人
Seugathi,双尾虫怪
Sewn Into Clothing,缝在衣服上
Shabti,舍卜提
Shield Throw 20 ft,掷盾20尺
Shield Throw 30 ft,掷盾30尺
Siktempora,癔时妖
Skelm,癫佬
Skulk,潜伏客
Social,社群
Soulbound,缚魂
Spellgun,咒枪
Spellheart,咒心
Spellshot,魔弹射手
Spirit,灵魂
Splash 10 ft,溅射10尺
Spriggan,斯普利坎
Stance,架势
Steam,蒸汽
Structure,构造物
Summon,召唤
Summoned,被召唤
Sweep,横扫
Tandem,同步
Tane,天恩
Tanggal,残留妖
Tattoo,刺青
Tattooed on the Body,在身上刺青
Technological,科技
Teleportation,传送
Tethered,栓绳
Thrown,投掷
Thrown 10 ft.,投掷 10 .
Thrown 100 ft.,投掷 100 .
Thrown 15 ft.,投掷15尺。
Thrown 20 ft.,投掷 20 .
Thrown 200 ft.,投掷200尺
Thrown 30 ft.,投掷 30 .
Thrown 40 ft.,投掷 40 .
Thrown 60 ft.,投掷 60 .
Thrown 80 ft.,投掷 80 .
Titan,泰坦
Touched,接触
Training,驯兽
Trap,陷阱
Troll,巨魔
Troop,部队
True Name,真名
Twin,成对
Two-Hand,双手
Two-Hand d10,双手 10
Two-Hand d12,双手 12
Two-Hand d6,双手 6
Two-Hand d8,双手 8
Uncommon,罕见
Undead,不死生物
Unique,独特
Unstable,不稳定
Urdefhan,透肌魔人
Vehicular,搭载
Velstrac,链魔
Versatile,多用
Versatile Acid,多用酸蚀
Versatile B,多用
Versatile Chaotic,多用混乱
Versatile Cold,多用寒冷
Versatile Electricity,多用电击
Versatile Evil,多用邪恶
Versatile Fire,多用火焰
Versatile Force,多用力场
Versatile Good,多用善良
Versatile Lawful,多用秩序
Versatile Negative,多用负能量
Versatile P,多用
Versatile Positive,多用正能量
Versatile S,多用
Versatile Sonic,多用音波
Virulent,恶性
Volley,远射
Volley 20 ft.,远射 20 .
Volley 30 ft.,远射 30 .
Volley 50 ft.,远射 50 .
Wayang,剪影人
Werecreature,兽化人
Wight,尸妖
Wild Hunt,狂猎
Worn Amulet,穿戴珠宝
Worn and Attached to Two Weapons,穿戴并附在两件武器上
Worn Anklets,穿戴袜子
Worn Armbands,穿戴臂章
Worn Backpack,穿戴背包
Worn Barding,穿戴伙伴护甲
Worn Belt,穿戴腰带
Worn Belt Pouch,穿戴皮带袋
Worn Boots,穿戴靴子
Worn Bracelet,穿戴手镯
Worn Bracers,穿戴护腕
Worn Cap,穿戴帽子
Worn Cape,穿戴披肩
Worn Circlet,穿戴圆环
Worn Cloak,穿戴披风
Worn Clothing,穿戴衣服
Worn Collar,穿戴项圈
Worn Crown,穿戴皇冠
Worn Epaulets,穿戴肩饰
Worn Eyeglasses,穿戴眼镜
Worn Eyepiece,穿戴目镜
Worn Footwear,穿戴足饰
Worn Garment,穿戴服装
Worn Gloves,穿戴手套
Worn Headwear,穿戴头饰
Worn Horseshoes,穿戴马掌
Worn Mask,穿戴面具
Worn Necklace,穿戴项链
Worn on Belt,穿戴腰部挂饰
Worn on Wrists,穿戴手镯
Worn or Held in One Hand,穿戴或单手持握
Worn Ring,穿戴戒指
Worn Saddle,穿戴鞍具
Worn Sandles,穿戴马鞍
Worn Shoes,穿戴鞋子
Worn Under Light Armor or Clothes,穿戴轻甲或衣物
Wraith,缚灵
Xulgath,地蜥人
Notice Everything in Advance,提前注意一切事物
Notice Everything,关注所有事物
Detection Mode,侦测魔法/搜寻模式
Difficult Terrain Speed,困难地形速度
Distance,距离
Other (Half Speed),其他 (半速)
None (Full Speed),无 (全速)
Exploration Activity,探索活动
Exploration Speed,探索速度
ft,尺
Greater Difficult Terrain Speed,高等困难地形速度
Hours Spent Traveling Per Day,每日旅行时间
Minutes Spent Hustling Per Day,每天强行军的分钟数
Journey,旅程
Miles,英里
Full Speed,全速
Normal Terrain Speed,正常地形速度
Party Speed,队伍速度
Terrain Speed,地形速度
Travel Duration Calculator (Alpha),旅途持续时间计算器
Travel Duration,旅途持续时间
damaged for,受到伤害
healed for,得到治疗
and their {shield} gets,他们的护甲得到
gets,得到
No damage information for outcome {outcome}.,没有关于 {}的伤害信息。
Adjust Damage/Healing,调整伤害/治疗
Adjust the rolled damage/healing,修改骰出的伤害/治疗
Source ID,来源
Unit price,单价
Announcement: United Paizo Workers,公告:
Unprepare Item,不适合的物品
Update Actor,更新角色
Update,更新
Usage,用途
Darkvision Filter,黑暗视觉筛选
Weaknesses,弱点
Alchemical Bomb,炼金炸弹
Claw,爪击
Exquisite Sword Cane,精致剑杖
Exquisite Sword Cane Sheath,精致剑杖鞘
Fighting Stick,战斗棍
Flying Talon,飞爪
Jaws,噬咬
Reinforced Wheels,加固车轮
Shears,剪子
Shield Pistol,护盾手枪
Spiral Rapier,螺旋细剑
Wheel Blades,轮刃
Wheel Spikes,轮刺
Whip Staff,鞭杆
Weapon Ability,武器能力
Bonus Attack,加值攻击
Bonus Damage,加值伤害
Additional Custom Damage,额外固定伤害
Base Damage,基础伤害
Axe,斧
Bow,弓弩
Brawling,搏击
Firearm,火器
Knife,短刃
Polearm,长武
Sword,剑
One Plus,单手+
Default (uses Agile trait if present),默认 (尽可能使用灵巧特性)
Weapon Potency (+4),武器潜能 (+4)
Critical Damage,重击伤害
Critical Effect,重击效果
Demolishing,拆解
Cunning,狡诈符文
Greater Anchoring,高等锚定符文
Greater Bloodbane,高等血煞符文
Greater Brilliant,高等光辉符文
Greater Corrosive,高等酸蚀符文
Greater Crushing,高等粉碎符文
Greater Disrupting,高等瓦解符文
Greater Extending,高等延展符文
Greater Fanged,高等獠牙符文
Greater Fearsome,高等可怖符文
Greater Flaming,高等炽焰符文
Greater Frost,高等冻寒符文
Greater Hauling,高等拖拽符文
Greater Impactful,高等冲击符文
Greater Shock,高等电击符文
Major Fanged,上等獠牙符文
Greater Thundering,高等雷鸣符文
Strike Damage,攻击 伤害
Strike Effect,攻击 效果
200 ft,200尺
Weapon Range,武器射程
Reload Time,装填时间
Advanced Weapon,异种武器
Martial Weapon,军用 武器
Simple Weapon,简易 武器
Other Weapons,未分类武器
Unarmed Attack,无武装 攻击
Weight,体重
Your weight,你的体重
Gozran,格茲萊
Arodus,奥罗都斯
Kuthona,库松纳
Calistril,卡莉茲翠
Abadius,阿贝迪乌斯
Erastus,埃拉斯图斯
Sarenith,赛伦尼斯
Pharast,法拉斯特
Desnus,黛丝娜斯
Neth,奈斯
Rova,洛瓦
Fireday,火之日
Moonday,月之日
Starday,星之日
Sunday,阳之日
Oathday,誓之日
Toilday,辛之日
Wealday,鞭之日
Advance,经过
Retract,撤回
Advance to Dawn,推进到黎明
Advance to Dusk,推进到黄昏
Advance to Midnight,推进到午夜
Advance to Noon,推进到正午
Retract to Dawn,回退到黎明
Retract to Dusk,回退到黄昏
Retract to Midnight,回退到午夜
Retract to Noon,回退到正午
Number,数字
You're unable to see.,我的眼前一片黑……
Substance,物质
You attack indiscriminately.,你的攻击漫无目的。
Another creature determines your actions.,其它生物决定你的动作。
Everything is concealed to you.,所有生物对你都是隐蔽。
Configure Loot?,设置战利品？
You're unable to hear.,大点声，听不见！
You're slipping closer to death.,死期将至。
Your strength has been sapped away.,你的力量耗尽。
Epaulets,肩章
You must run away.,你必须逃走。
{depositor} deposits {quantity} × {item} in {container}.,{} 在 {} 处存放了 {} × {}.
Attitudes,态度
Degrees of Detection,侦测等级
You can't move.,寸步难行。
Creatures can't see you.,踪迹全无。
Liquid,液体
You're in plain view.,我看到你了！
Your body is frozen in place.,动弹不得。
You keep taking damage every round.,你每轮持续受到伤害。
You've been turned to stone.,你被变成石头了。
You get an extra action each turn.,你每回合获得一个额外动作。
Object,物体
You're sick to your stomach.,我感觉很难受！
You lose actions each turn.,你每轮丢失动作。
You can't use actions.,你无法使用动作。
Deposit item,存放物品
You're asleep or knocked out.,你陷入沉睡或被击倒。
A creature is entirely unaware you're present.,对方生物完全不知道你的存在。
Identified,鉴定
Identify Item,鉴定物品
Identify Alchemy DCs,辨识炼金术
Identify Generic DCs,辨识药物
Identify Magic DCs,辨识魔法
Identified?,确定了吗？
Misidentified {item},未鉴定的{}
Misidentify Item,未鉴定物品
Mystification status,神秘化状态
Mystify Item,神秘化物品
Post skill checks to chat,将技能检定发布至聊天栏
Identify item: Skill checks,鉴定物品:技能检定
Note: this trait is hidden from players.,注意：这个特征对于玩家是隐藏的。
The nature of this {item} is unclear.,{}的性质暂不清楚。
Unusual {item},不寻常的{}
{giver} gives {quantity} × {item} to {recipient}.,{} 给予了 {} {} × {}.
Give item,给予物品
Hidden when empty,空白时隐藏
Insufficient currency for purchase by {buyer},"货币不足,无法购买{}"
Allows for distribution of coins across players,允许玩家之间交易货币
Loot,战利品
{looter} loots {quantity} × {item} off {corpse}.,{} 从 {} 上得到了 {} × {} .
Loot selected tokens,从选定指示物中获得战利品
Choose tokens to loot from,选择要获取战利品的指示物
Loot item,战利品
Move Items,移动物品
Item Quantity,物品数量
{planter} plants {quantity} × {item} on {corpse}.,{} 放了 {} × {} 在 {}.
Plant Item,安置物
Purchase Items,购买道具
{seller} sells {quantity} × {item} to {buyer}.,{} 向 {} 出售了 {} × {}.
Sell item,出售物品
Sheet Type,表格形式
Distribute Coins,分发货币
Choose actors to receive a share,选择角色分发货币
Create new stack?,创建新的战利品堆？
{taker} takes {quantity} × {item} from {container}.,{} 从 {} 处拿走了 {} × {}.
Transfer item,转移物品
Toggle wearing your equipment,穿戴装备开关
Toggle investing your equipment,绑定装备开关
Sell,出售
Toggle holding your weapon,切换你持握的武器
BT,破损阈值
Crew,工作人员
Current Hitpoints,当前生命值
Hard.,硬度
Vehicle {level},载具 {}
Maximum Hitpoints,最大生命值
Vehicle,载具
Passengers,乘客
Piloting Check,驾驶检定
Length,长度
Width,宽度
Collision DC,碰撞
Collision Damage,碰撞伤害
Player Character,玩家角色
Hazard,危害
Affliction,苦难
Ancestry,种族
Container,背包
Condition,状态
Effect,效果
Feat/Feature,专长/特征
Kit,工具包
Lore Skill,学识技能
NPC Attack,攻击
Spellcasting Entry,法术列表
Simple NPC Sheet,简易表
Add {count} result(s) to Roll Table?,是否将 {} 个结果添加到随机表？
"On a critical failure, the weapon misfires.",当大失败时，武器会哑火。
The creature drops the wielded weapon.,该生物放下了持用的武器。
Reach increased by 5 feet,射程增加5尺
Antler,鹿角
Beak,喙
Beard,须
Body,躯体
Bone Shard,骨刺
Boot,靴子
Branch,枝杈
Cube Face,面触
Fire Mote,焰尘
Foreleg,前肢
Gust,狂风
Holy Mace,神圣硬头锤
Hoof,蹄击
Horn,角
Lava Fist,熔岩拳
Leaf,叶子
Leg,腿
Lightning Lash,闪电冲击
Mandibles,颚齿
Piercing Hymn,穿心圣歌
Pincer,钳击
Pseudopod,伪足
Rock,岩石
Spikes,尖刺
Spine,刺
Stinger,钉刺
Sunbeam,阳炎射线
Tail,尾巴
Talon,爪
Tendril,卷须
Tentacle,触角
Tentacle Arm,触手臂
Thorns,棘刺
Tongue,吐舌
Trunk,长鼻
Tusk,獠牙
Vine,藤蔓
Water Spout,喷水
Wave,波涛
Wing,翼击
Shroud of Flame,火焰护罩
Select a goo grenade quality.,选择粘性手雷的品级。
Greater,高等
Lesser,次等
Major,上等
Duskwalker rolls checks against his Designated Prey,黄昏行者对指定猎杀目标进行对抗检定
In lazurite infused terrain,在含青金石的地形中
Brazier is alight,火盆正熊熊燃烧
Designated Prey attacks the Duskwalker,指定猎杀目标攻击黄昏行者
Opening Statement (Critical Success),开场陈述（大成功）
How many times has the Barghest fed?,犬魔被喂食了多少次？
Strikes not taken?,未进行打击？
Enter Suspended Animation,进入假死状态
Exit Suspended Animation,退出假死状态
Moved at Least 10 feet,至少移动了10尺
How many plates are lost?,丢失了多少碟片？
Standby Mode,待机模式
Broken Construct Armor,破损的构装护甲
Construct Armor Broken by a Critical Hit,构装护甲被重击所破损
